Rank,Company,Country,Industry,Revenue in USD
1,Walmart,&#160;United States,Retail,$572.8 billion
2,Amazon,&#160;United States,Internet Services and Retailing,$469.8 billion
3,State Grid,&#160;China,Energy,$460.6 billion
4,China National Petroleum,&#160;China,Petroleum,$411.7 billion
5,Sinopec Group,&#160;China,Petroleum,$401.3 billion
6,Saudi Aramco,&#160;Saudi Arabia,Energy,$400.4 billion
7,Apple,&#160;United States,Technology,$365.8 billion
8,Volkswagen,&#160;Germany,Automobiles,$295.8 billion
9,China State Construction Engineering,&#160;China,Construction &amp; Engineering,$293.7 billion
10,CVS Health,&#160;United States,Health care,$292.1 billion
